Domain,Subdomain,Definition,Exemplary Concepts
Social,Economic and Commercial Practices,"This subdomain encompasses human understanding of exchange, trade, and economic relationships that involve the production, distribution, and consumption of goods and services. It captures how humans conceptualize value, transaction, and the various forms of economic interaction in their social environment.","Exchange mechanisms (buying, selling, trading, bartering, gifting, sharing); Financial concepts (money, credit, debt, investment, savings, insurance); Market activities (shopping, negotiating, advertising, competing, pricing); Work and labor (employment, wages, contracts, business ownership, entrepreneurship); Economic relationships (customer-vendor, employer-employee, landlord-tenant); Value concepts (cost, profit, loss, worth, affordability, luxury vs. necessity); Economic institutions (banking, taxation, property rights, market regulation); Resource management (budgeting, planning, allocation, conservation, waste)"
Social,Governance and Law,"This subdomain captures human understanding of systems of authority, rule-making, and social control that regulate collective behavior. It encompasses how humans conceptualize legitimate authority, legal obligations, and the various mechanisms societies use to establish and enforce social order.","Authority structures (leadership, hierarchy, sovereignty, jurisdiction, mandate); Legal concepts (laws, rights, obligations, contracts, property, citizenship); Justice systems (courts, trials, judges, juries, punishment, rehabilitation); Enforcement mechanisms (police, military, penalties, sanctions, compliance); Political processes (voting, representation, legislation, policy-making, advocacy); Regulatory frameworks (permits, licenses, standards, inspections, violations); Dispute resolution (mediation, arbitration, litigation, negotiation, appeals); Constitutional concepts (fundamental rights, separation of powers, checks and balances)"
Social,Social Interaction and Relationships,"This subdomain encompasses the dynamic processes through which humans connect, communicate, and form relationships with one another. It captures the various forms of social engagement, from brief encounters to deep personal bonds, and the behavioral patterns that characterize human social connection.","Relationship types (friendship, romance, marriage, kinship, mentorship, rivalry); Social behaviors (greeting, conversation, cooperation, competition, helping, sharing); Communication patterns (talking, listening, arguing, persuading, comforting, joking); Emotional connections (love, trust, loyalty, jealousy, attachment, intimacy); Social networks (family circles, friend groups, professional networks, communities); Relationship dynamics (bonding, conflict, reconciliation, separation, reunion); Social rituals (introductions, celebrations, ceremonies, farewells, traditions); Group membership (inclusion, exclusion, belonging, acceptance, rejection)"
Social,Conflict and Cooperation,"This subdomain captures human understanding of the spectrum from collaborative to competitive social dynamics, including the recognition, management, and resolution of social tensions. It encompasses both constructive cooperation and destructive conflict as fundamental patterns of human social interaction.","Cooperative behaviors (teamwork, collaboration, mutual aid, alliance-building, sharing resources); Competitive dynamics (rivalry, competition, contest, struggle for resources or status); Conflict types (arguments, disputes, feuds, wars, legal battles, ideological conflicts); Resolution mechanisms (negotiation, compromise, mediation, peace-making, reconciliation); Alliance patterns (partnership, coalition, treaty, mutual defense, joint ventures); Aggressive behaviors (fighting, bullying, intimidation, retaliation, revenge); Peaceful coexistence (tolerance, diplomacy, neutrality, peaceful settlement); Power struggles (dominance, submission, resistance, rebellion, revolution)"
Social,Group Dynamics and Collective Behavior,"This subdomain encompasses human understanding of how groups form, function, and influence individual behavior. It captures the emergent properties of collective action, group psychology, and the various ways that being part of a group changes individual cognition and behavior.","Group formation (joining, initiation, membership criteria, group identity, solidarity); Collective action (protests, movements, mob behavior, crowd dynamics, mass events); Group decision-making (consensus, voting, deliberation, leadership, influence); Social pressure (conformity, peer pressure, social norms, groupthink, dissent); Group roles (leaders, followers, facilitators, disruptors, outsiders, scapegoats); Collective identity (team spirit, group loyalty, in-group/out-group distinctions); Mass phenomena (trends, fashions, panics, rumors, collective memory); Organizational behavior (workplace culture, team dynamics, institutional culture)"
Cultural,Beliefs and Worldviews,"This subdomain encompasses human understanding of fundamental perspectives on reality, existence, and meaning that shape how individuals and groups interpret their world. It captures the deep cognitive frameworks, belief systems, and philosophical orientations that guide human understanding of life's fundamental questions and provide interpretive lenses for experience.","Religious beliefs (monotheism, polytheism, animism, atheism, agnosticism, spirituality); Cosmological views (creation stories, afterlife concepts, divine intervention, fate vs. free will); Philosophical orientations (materialism, idealism, existentialism, determinism, humanism); Explanatory frameworks (scientific rationalism, mysticism, traditionalism, supernaturalism); Value systems (individualism vs. collectivism, progress vs. tradition, sacred vs. secular); Meaning-making concepts (purpose of life, suffering, justice, truth, beauty, goodness); Epistemological beliefs (how knowledge is acquired, sources of authority, truth criteria); Metaphysical concepts (nature of reality, consciousness, time, causation, unity vs. diversity)"
Cultural,Rituals and Traditions,"This subdomain captures human understanding of ceremonial practices, customary behaviors, and repeated cultural activities that mark significant events, maintain social bonds, and transmit cultural knowledge. It encompasses both formal religious ceremonies and informal cultural practices that structure social life through symbolic action.","Life cycle rituals (birth ceremonies, coming of age, weddings, funerals, baptisms); Religious ceremonies (worship services, prayer rituals, pilgrimage, communion, meditation); Seasonal celebrations (harvest festivals, new year celebrations, solstice observances); Community traditions (parades, festivals, commemorations, reunions, local customs); Daily rituals (meal practices, greeting customs, bedtime routines, work traditions); Ceremonial objects (sacred items, regalia, ceremonial tools, symbolic artifacts); Rites of passage (initiation ceremonies, graduation, ordination, retirement celebrations); Commemorative practices (memorial services, anniversary observances, historical reenactments)"
Cultural,Arts and Creative Practices,"This subdomain encompasses human understanding of creative expression, aesthetic appreciation, and the various forms of artistic production that communicate meaning, emotion, and cultural values through symbolic representation. It captures how humans conceptualize beauty, creativity, and the role of artistic expression in cultural life.","Visual arts (painting, sculpture, drawing, photography, crafts, decorative arts); Performing arts (music, dance, theater, storytelling, opera, circus); Literary arts (poetry, fiction, drama, oral literature, folklore, epic narratives); Media arts (film, television, digital art, multimedia installations, video games); Craft traditions (pottery, weaving, woodworking, metalworking, jewelry making); Aesthetic concepts (beauty, style, artistic movement, genre, technique, artistic vision); Creative processes (inspiration, composition, performance, interpretation, criticism); Cultural expression (folk art, popular culture, high art, avant-garde, traditional forms)"
Cultural,Cultural Narratives and Memory,"This subdomain captures human understanding of the stories, histories, and collective memories that communities use to understand their past, define their identity, and guide their future. It encompasses how humans create, maintain, and transmit shared narratives that provide cultural continuity and meaning.","Historical narratives (origin stories, founding myths, historical events, legendary figures); Collective memory (shared experiences, cultural trauma, golden ages, formative events); Oral traditions (folktales, legends, proverbs, genealogies, traditional stories); Cultural heroes (mythical figures, historical leaders, cultural icons, role models); Cautionary tales (moral stories, warnings, examples of consequences, wisdom literature); Identity narratives (cultural uniqueness, shared struggles, community achievements); Explanatory stories (origin myths, creation accounts, aetiological tales); Commemorative practices (storytelling traditions, historical preservation, memory keeping)"
Cultural,Heritage and Identity,"This subdomain encompasses human understanding of cultural inheritance, group membership, and the various markers that define cultural identity and belonging. It captures how humans conceptualize their connection to cultural traditions, ancestral communities, and the symbols that represent cultural distinctiveness.","Ethnic identity (ancestry, bloodlines, tribal affiliation, ethnic pride, cultural roots); Cultural symbols (flags, emblems, traditional clothing, cultural icons, sacred objects); Language heritage (native tongues, dialects, linguistic identity, mother language); Cultural practices (traditional foods, customs, celebrations, inherited knowledge); Ancestral connections (family lineage, genealogy, ancestral homeland, inherited status); Cultural preservation (maintaining traditions, cultural revival, heritage protection); Identity markers (names, cultural dress, religious affiliation, regional identity); Cultural transmission (passing down traditions, teaching cultural knowledge, intergenerational learning)"
Psychological,Perception and Sensation,"This subdomain encompasses human understanding of the processes through which sensory information is received, interpreted, and organized into meaningful experience. It captures how humans conceptualize the interface between their consciousness and the external world through the various sensory modalities and perceptual processes.","Sensory modalities (vision, hearing, touch, taste, smell, proprioception, balance); Perceptual qualities (brightness, color, loudness, pitch, texture, temperature, flavor); Spatial perception (depth, distance, size, shape, orientation, movement detection); Temporal perception (duration, rhythm, sequence, simultaneity, change detection); Perceptual organization (figure-ground, pattern recognition, gestalt principles, grouping); Sensory thresholds (detection limits, discrimination abilities, sensitivity variations); Perceptual illusions (optical illusions, auditory illusions, misperceptions, hallucinations); Cross-modal perception (synesthesia, sensory substitution, multisensory integration)"
Psychological,Emotions and Affective States,"This subdomain captures human understanding of feeling states, emotional responses, and the complex affective experiences that color human consciousness. It encompasses how humans recognize, categorize, and experience the full spectrum of emotions and moods that influence cognition, behavior, and social interaction.","Basic emotions (joy, sadness, anger, fear, disgust, surprise, contempt, love); Complex emotions (guilt, shame, pride, envy, gratitude, nostalgia, awe, empathy); Mood states (depression, elation, irritability, contentment, anxiety, excitement); Emotional intensity (mild feelings, intense passion, overwhelming emotion, emotional numbness); Affective qualities (pleasant vs. unpleasant, arousing vs. calming, approach vs. avoidance); Emotional regulation (control, expression, suppression, amplification, coping strategies); Social emotions (embarrassment, jealousy, compassion, moral outrage, social anxiety); Emotional development (emotional maturity, emotional intelligence, feeling recognition)"
Psychological,Needs and Drives and Motivations,"This subdomain encompasses human understanding of the internal forces that energize, direct, and sustain behavior toward goals. It captures how humans conceptualize the various biological and psychological needs, drives, and motivational states that influence action, decision-making, and goal pursuit.","Biological needs (hunger, thirst, sleep, sexual desire, pain avoidance, homeostatic drives); Psychological needs (autonomy, competence, relatedness, security, achievement, recognition); Social motivations (belonging, status, approval, intimacy, power, influence); Growth motivations (self-actualization, learning, creativity, meaning-seeking, spiritual fulfillment); Motivational states (desire, craving, ambition, passion, determination, apathy); Goal orientations (approach vs. avoidance, intrinsic vs. extrinsic, short-term vs. long-term); Drive regulation (impulse control, delayed gratification, habit formation, addiction); Motivational conflicts (competing desires, approach-avoidance conflicts, value conflicts)"
Psychological,Subjective Experience of the Body and Environment,"This subdomain captures human understanding of the felt, phenomenological aspects of embodied existence and environmental experience. It encompasses how humans conceptualize their immediate, first-person experience of being a conscious body situated in a physical and social environment.","Bodily sensations (comfort, discomfort, tension, relaxation, energy, fatigue, vitality); Interoceptive awareness (heartbeat, breathing, hunger, thirst, internal bodily signals); Spatial embodiment (body schema, personal space, embodied presence, spatial orientation); Environmental presence (sense of place, atmosphere, environmental mood, spatial qualities); Phenomenological states (flow states, altered consciousness, peak experiences, mindfulness); Somatic responses (gut feelings, embodied intuition, physical reactions to emotion); Temporal embodiment (sense of duration, temporal flow, present moment awareness); Relational embodiment (interpersonal presence, social attunement, embodied empathy)"
Cognitive,Attention and Awareness,"This subdomain encompasses human understanding of consciousness, selective attention, and the various states and processes through which humans become aware of and focus on particular aspects of their internal or external environment. It captures how humans conceptualize the dynamic, selective nature of conscious awareness and attentional control.","Attentional focus (concentration, selective attention, divided attention, sustained attention); Awareness states (consciousness, mindfulness, alertness, vigilance, absent-mindedness); Attentional control (focusing, shifting attention, filtering distractions, mental effort); Levels of awareness (conscious, preconscious, unconscious, subliminal, peripheral awareness); Attentional scope (narrow focus, broad awareness, tunnel vision, global attention); Meta-awareness (awareness of awareness, attention to attention, metacognitive monitoring); Altered states (meditation, flow states, daydreaming, hypnosis, absorption); Attentional disorders (distractibility, hypervigilance, attention deficits, obsessive focus)"
Cognitive,Memory and Learning,"This subdomain captures human understanding of how information is acquired, stored, retrieved, and modified over time. It encompasses the various forms of memory and learning processes through which humans accumulate knowledge, develop skills, and benefit from experience to guide future behavior and understanding.","Memory types (episodic, semantic, procedural, working memory, long-term memory, short-term memory); Learning processes (acquisition, practice, rehearsal, consolidation, skill development); Memory phenomena (forgetting, remembering, recognition, recall, false memories, flashbulb memories); Learning strategies (repetition, association, elaboration, organization, retrieval practice); Memory cues (reminders, associations, context, priming, retrieval cues); Knowledge organization (schemas, categories, mental models, conceptual frameworks); Expertise development (novice to expert progression, automaticity, domain knowledge); Memory failures (amnesia, confusion, tip-of-tongue, interference, decay)"
Cognitive,Reasoning and Problem-Solving,"This subdomain encompasses human understanding of logical thinking, analytical processes, and the systematic approaches used to work through complex problems and arrive at conclusions. It captures how humans conceptualize rational thought, inference-making, and the various strategies for overcoming cognitive challenges.","Logical reasoning (deduction, induction, abduction, syllogistic reasoning, logical validity); Problem-solving strategies (trial and error, means-ends analysis, working backward, analogical reasoning); Analytical thinking (breaking down problems, identifying patterns, systematic analysis); Creative problem-solving (brainstorming, lateral thinking, insight, innovative solutions); Reasoning errors (logical fallacies, cognitive biases, faulty assumptions, circular reasoning); Evidence evaluation (weighing evidence, assessing credibility, identifying relevant information); Abstract thinking (conceptual reasoning, hypothetical thinking, counterfactual reasoning); Mathematical reasoning (quantitative thinking, mathematical proof, statistical reasoning, numerical relationships)"
Cognitive,Decision-Making and Planning,"This subdomain captures human understanding of choice processes, future-oriented thinking, and the various mechanisms through which humans select among alternatives and organize actions toward future goals. It encompasses both immediate decision-making and long-term strategic planning.","Choice processes (option generation, alternative evaluation, preference formation, commitment); Planning activities (goal setting, strategy formation, resource allocation, timeline development); Decision factors (costs and benefits, risks and rewards, uncertainty, value tradeoffs); Temporal considerations (short-term vs. long-term thinking, delayed gratification, future discounting); Strategic thinking (anticipating consequences, considering multiple scenarios, contingency planning); Decision aids (decision trees, pros and cons lists, advice seeking, deliberation strategies); Planning tools (schedules, priorities, milestones, resource management, coordination); Choice difficulties (decision paralysis, analysis paralysis, regret, satisficing vs. optimizing)"
Cognitive,Beliefs and Knowledge and Assumptions,"This subdomain encompasses human understanding of the information, beliefs, and assumptions that constitute their knowledge base and worldview. It captures how humans conceptualize what they know, how they know it, and the various forms of knowledge and belief that guide their understanding and behavior.","Knowledge types (factual knowledge, procedural knowledge, experiential knowledge, tacit knowledge); Belief systems (core beliefs, peripheral beliefs, religious beliefs, political beliefs, scientific beliefs); Epistemic states (certainty, doubt, confidence, skepticism, conviction, open-mindedness); Knowledge sources (experience, education, authority, intuition, tradition, evidence); Assumptions (background assumptions, default beliefs, implicit knowledge, taken-for-granted truths); Belief revision (learning, updating beliefs, changing minds, paradigm shifts, cognitive dissonance); Knowledge organization (mental models, frameworks, theories, conceptual structures); Epistemic virtues (intellectual humility, curiosity, critical thinking, open inquiry)"
Cognitive,Intention and Goal-Oriented Action,"This subdomain captures human understanding of purposive behavior, goal formation, and the various processes through which humans translate desires and intentions into organized action. It encompasses how humans conceptualize agency, willpower, and the relationship between mental intentions and behavioral execution.","Goal formation (desire, intention, commitment, goal setting, aspiration, ambition); Action planning (implementation intentions, action sequences, means-ends chains, strategy selection); Volitional control (willpower, self-control, effort, persistence, resistance to temptation); Goal management (goal pursuit, goal switching, goal abandonment, prioritization); Intentional states (trying, striving, attempting, endeavoring, working toward); Action monitoring (progress tracking, performance evaluation, course correction, adaptation); Goal conflicts (competing goals, approach-avoidance conflicts, value conflicts, resource allocation); Agency experiences (sense of control, self-efficacy, personal causation, empowerment)"
Cognitive,Cognitive Judgments and Evaluations,"This subdomain encompasses human understanding of assessment processes, evaluative thinking, and the various ways humans form judgments about quality, value, truth, and significance. It captures how humans conceptualize evaluation, criticism, and the processes through which they assess and compare different options, ideas, or situations.","Quality assessments (good vs. bad, excellent vs. poor, superior vs. inferior, adequate vs. inadequate); Value judgments (important vs. trivial, worthwhile vs. worthless, significant vs. insignificant); Truth evaluations (true vs. false, accurate vs. inaccurate, valid vs. invalid, credible vs. dubious); Aesthetic judgments (beautiful vs. ugly, elegant vs. crude, artistic vs. artless, tasteful vs. tasteless); Comparative assessments (better vs. worse, more vs. less, superior vs. inferior, preferable vs. undesirable); Appropriateness judgments (suitable vs. unsuitable, proper vs. improper, fitting vs. unfitting); Evaluation criteria (standards, benchmarks, expectations, requirements, ideals); Judgment processes (critical thinking, assessment strategies, evaluation frameworks, bias recognition)"
Representational,Signs and Communication and Language,"This subdomain encompasses human understanding of symbolic systems, communicative processes, and the various means through which humans create, transmit, and interpret meaningful information. It captures how humans conceptualize language, signs, symbols, and the full spectrum of communicative acts that enable shared understanding and cultural transmission.","Language systems (spoken language, written language, sign language, grammar, vocabulary, syntax); Symbolic communication (gestures, facial expressions, body language, pictograms, icons, symbols); Communicative acts (speaking, listening, reading, writing, signing, storytelling, explaining); Meaning-making (interpretation, understanding, translation, disambiguation, context); Communication channels (verbal, nonverbal, visual, auditory, tactile, digital); Discourse types (conversation, narrative, argument, description, instruction, poetry); Pragmatic dimensions (tone, intent, context, audience, appropriateness, effectiveness); Communication problems (misunderstanding, ambiguity, language barriers, communication breakdown)"
Representational,Information Structures,"This subdomain captures human understanding of how information is organized, categorized, and structured to enable efficient storage, retrieval, and manipulation. It encompasses the various ways humans conceptualize the arrangement and relationship of information elements, from simple lists to complex hierarchical and network structures.","Organizational structures (hierarchies, networks, matrices, trees, graphs, taxonomies); Categorization systems (classification, typologies, schemas, frameworks, inventories); Information relationships (associations, dependencies, causation, similarity, sequence); Data formats (lists, tables, databases, documents, files, records, entries); Structural elements (headers, sections, chapters, indices, cross-references, links); Organization principles (alphabetical, chronological, topical, hierarchical, geographical); Information architecture (navigation, search, filtering, sorting, grouping, tagging); Knowledge organization (ontologies, concept maps, mental models, semantic networks)"
Representational,Media and Digital Systems,"This subdomain encompasses human understanding of technological systems for creating, transmitting, and manipulating information and representations. It captures how humans conceptualize digital technologies, electronic media, and the various technological tools that extend human representational and communicative capabilities.","Digital technologies (computers, smartphones, internet, software, applications, platforms); Media formats (text, audio, video, images, multimedia, interactive media, virtual reality); Communication technologies (email, messaging, social media, video conferencing, forums); Information processing (data entry, editing, searching, filtering, manipulation, analysis); Digital interfaces (screens, keyboards, touchscreens, voice commands, gesture controls); Network systems (internet, wireless, cloud computing, distributed systems, connectivity); Digital content (websites, digital documents, databases, digital libraries, online resources); Technology interaction (user experience, digital literacy, human-computer interaction, automation)"
Representational,Formal Systems and Abstract Representations,"This subdomain captures human understanding of systematic, rule-based representational systems that use abstract symbols and logical relationships to model reality or manipulate information. It encompasses mathematical systems, logical frameworks, and other formal representational tools that enable precise, systematic thinking and analysis.","Mathematical systems (arithmetic, algebra, geometry, calculus, statistics, mathematical logic); Logical systems (propositional logic, predicate logic, modal logic, reasoning systems); Formal notations (mathematical notation, logical symbols, scientific formulas, programming languages); Abstract models (mathematical models, theoretical frameworks, formal theories, axiomatic systems); Systematic procedures (algorithms, proofs, calculations, derivations, systematic methods); Rule-based systems (formal rules, syntactic systems, transformation rules, inference rules); Precision tools (measurement systems, quantification, exactness, formal definitions); Abstract relationships (functions, mappings, equivalences, transformations, isomorphisms)"
Representational,Knowledge Representation,"This subdomain encompasses human understanding of how knowledge, concepts, and meanings are encoded, stored, and expressed in various representational formats. It captures how humans conceptualize the relationship between mental content and its external representation, including the various ways knowledge can be captured, organized, and communicated.","Representational formats (concepts, definitions, descriptions, explanations, models, theories); Knowledge structures (schemas, frameworks, ontologies, concept maps, knowledge graphs); Semantic relationships (is-a relationships, part-whole, cause-effect, similarity, opposition); Conceptual organization (categories, hierarchies, networks, associations, semantic fields); Knowledge encoding (documentation, notation, representation languages, knowledge bases); Meaning representation (semantic content, propositional knowledge, conceptual knowledge); Knowledge artifacts (encyclopedias, textbooks, manuals, reference works, knowledge systems); Representational adequacy (completeness, accuracy, clarity, usability, expressiveness)"
Space-Time,Spatial Configuration,"This subdomain encompasses human understanding of the arrangement, organization, and geometric relationships of objects and spaces. It captures how humans conceptualize spatial structures, layouts, and the various ways that entities can be positioned, oriented, and arranged in relation to one another within spatial frameworks.","Geometric relationships (parallel, perpendicular, intersecting, adjacent, overlapping, concentric); Spatial arrangements (patterns, layouts, configurations, formations, alignments, distributions); Dimensional concepts (one-dimensional, two-dimensional, three-dimensional, height, width, depth); Architectural spaces (rooms, buildings, courtyards, corridors, levels, compartments); Landscape features (terrain, topography, elevation, slopes, valleys, ridges, boundaries); Positional relationships (inside-outside, above-below, front-back, left-right, center-periphery); Spatial scales (microscopic, human-scale, architectural, geographical, cosmic); Organizational principles (symmetry, balance, proportion, hierarchy, zoning, clustering)"
Space-Time,Temporal Structure,"This subdomain captures human understanding of how time is organized, structured, and experienced, including the various ways humans conceptualize temporal relationships, sequences, rhythms, and the organization of events within temporal frameworks. It encompasses both subjective time experience and objective temporal organization.","Temporal units (moments, seconds, minutes, hours, days, weeks, months, years, decades); Temporal cycles (daily rhythms, weekly patterns, seasonal cycles, annual cycles, life cycles); Temporal organization (schedules, calendars, timetables, agendas, chronologies, timelines); Temporal relationships (before, after, during, simultaneous, sequential, overlapping); Temporal patterns (rhythms, periodicities, frequencies, intervals, repetitions, variations); Time periods (past, present, future, eras, epochs, ages, periods, phases); Temporal boundaries (beginnings, endings, transitions, deadlines, milestones, turning points); Subjective time (duration experience, time perception, temporal flow, temporal perspective)"
