Domain,Subdomain,Scenario,Definition,Elements,Relations
Biological,Health and Illness,Treatment and Recovery Processes,"In this scenario, a #Caregiver applies #TreatmentMethods to address #HealthProblems in a #Patient, implementing #TherapeuticInterventions and #CareStrategies to promote #HealingProcesses and achieve #HealthRestoration. The process involves monitoring #RecoveryProgress and adjusting treatments.

**Key Cognitive Principles Demonstrated:**

- **Principle 1:** Humans understand that targeted interventions can restore health through systematic treatment that supports natural healing processes
- **Principle 2:** Universal: rest, nutrition, medicine concepts; Cultural: traditional healing methods, specific therapeutic approaches
- **Principle 3:** Connects to Social domain (care relationships), Cognitive domain (treatment planning), Cultural domain (healing traditions)","- **Caregiver** (Entity): Person providing treatment and care to restore health - **TreatmentMethods** (Process): Systematic approaches to addressing health problems - **HealthProblems** (Entity): Specific illnesses, injuries, or dysfunction requiring attention - **Patient** (Entity): Person receiving treatment for health issues - **TherapeuticInterventions** (Process): Specific actions designed to improve health - **CareStrategies** (Process): Organized approaches to supporting recovery - **HealingProcesses** (Process): Natural or assisted restoration of healthy function - **HealthRestoration** (State): Return to normal or improved health condition - **RecoveryProgress** (Process): Gradual improvement in health status over time",
Biological,Health and Illness,Prevention and Health Maintenance,"In this scenario, a #HealthMaintainer engages in #PreventiveActions and #HealthyBehaviors to avoid #HealthRisks and maintain #OptimalWellness. The process involves understanding #RiskFactors, implementing #ProtectiveMeasures, and sustaining #WellnessRoutines for long-term health.

**Key Cognitive Principles Demonstrated:**

- **Principle 1:** Humans understand that health can be actively maintained and illness prevented through consistent healthy behaviors and risk avoidance
- **Principle 2:** Universal: cleanliness, good nutrition, exercise benefits; Cultural: specific health practices, traditional prevention methods
- **Principle 3:** Connects to Cognitive domain (future planning), Social domain (health education), Cultural domain (wellness traditions)",- **HealthMaintainer** (Entity): Person actively working to preserve and promote health - **PreventiveActions** (Process): Behaviors specifically intended to avoid illness - **HealthyBehaviors** (Process): Lifestyle practices that support wellbeing - **HealthRisks** (Entity): Factors that increase likelihood of illness or injury - **OptimalWellness** (State): Highest achievable level of health and vitality - **RiskFactors** (Entity): Specific elements that threaten health - **ProtectiveMeasures** (Process): Actions that reduce exposure to health risks - **WellnessRoutines** (Process): Regular practices that maintain health,
Biological,Physiological Functions,Vital System Operations and Regulatory Functions,"In this scenario, a #PhysiologyMonitor observes #VitalSystems performing #RegulatoryFunctions such as #Circulation, #Respiration, and #Metabolism. The monitor tracks #SystemicProcesses, #PhysiologicalRhythms, and #HomeostasisMaintenance that keep the body functioning optimally.

**Key Cognitive Principles Demonstrated:**

- **Principle 1:** Humans understand the body as containing interconnected systems that automatically regulate essential functions for survival
- **Principle 2:** Universal: heartbeat, breathing, digestion awareness; Cultural: traditional understanding of body systems, health regulation knowledge
- **Principle 3:** Connects to Temporal domain (biological rhythms), Physical domain (energy and flow), Cognitive domain (system understanding)",- **PhysiologyMonitor** (Entity): Person observing and understanding body system functions - **VitalSystems** (Entity): Essential body systems maintaining life - **RegulatoryFunctions** (Process): Automatic processes maintaining body balance - **Circulation** (Process): Blood flow throughout the body - **Respiration** (Process): Breathing and gas exchange - **Metabolism** (Process): Energy production and consumption - **SystemicProcesses** (Process): Coordinated functions across body systems - **PhysiologicalRhythms** (State): Regular patterns in body function timing - **HomeostasisMaintenance** (Process): Keeping body conditions within optimal ranges,
Biological,Physiological Functions,Sensory Processing and Perceptual Functions,"In this scenario, a #SensoryProcessor receives #SensoryInput through #SensoryOrgans, performing #SensoryTransduction to convert stimuli into #NeuralSignals. The processor integrates #MultimodalInformation through #PerceptualIntegration to create #SensoryExperience and enable #EnvironmentalAwareness.

**Key Cognitive Principles Demonstrated:**

- **Principle 1:** Humans understand sensory organs as specialized systems that convert environmental information into internal representations
- **Principle 2:** Universal: basic sensory modalities, sensory-brain connections; Cultural: sensory training traditions, perceptual skill development
- **Principle 3:** Connects to Perceptual domain (conscious experience), Physical domain (energy detection), Cognitive domain (information processing)",- **SensoryProcessor** (Entity): Person whose sensory systems are processing environmental information - **SensoryInput** (Entity): Environmental stimuli detected by sensory organs - **SensoryOrgans** (Entity): Specialized body parts for detecting specific stimuli - **SensoryTransduction** (Process): Conversion of stimuli into neural activity - **NeuralSignals** (Entity): Electrical activity carrying sensory information - **MultimodalInformation** (Entity): Combined input from multiple sensory channels - **PerceptualIntegration** (Process): Combining different sensory inputs into unified experience - **SensoryExperience** (State): Conscious awareness of environmental stimuli - **EnvironmentalAwareness** (State): Understanding of surroundings through sensory input,
Biological,Physiological Functions,Motor Control and Movement Coordination,"In this scenario, a #MotorController plans and executes #MovementPatterns through #MotorPlanning and #MovementExecution. The controller coordinates #MuscleActivation, #JointMovements, and #BalanceControl to achieve #IntendedActions while maintaining #PosturalStability and #MovementPrecision.

**Key Cognitive Principles Demonstrated:**

- **Principle 1:** Humans control movement through coordinated activation of multiple body systems working together to achieve precise, purposeful actions
- **Principle 2:** Universal: basic motor control, balance maintenance; Cultural: specific movement skills, trained motor expertise
- **Principle 3:** Connects to Cognitive domain (motor planning), Physical domain (force and movement), Spatial domain (body position)","- **MotorController** (Entity): Person planning and controlling bodily movements - **MovementPatterns** (Entity): Organized sequences of body movements - **MotorPlanning** (Process): Preparation and organization of intended movements - **MovementExecution** (Process): Actual performance of planned movements - **MuscleActivation** (Process): Contraction of muscles to produce movement - **JointMovements** (Process): Changes in limb and body segment positions - **BalanceControl** (Process): Maintenance of stable body position - **IntendedActions** (Entity): Purposeful movements the controller aims to perform - **PosturalStability** (State): Maintenance of balanced, controlled body position - **MovementPrecision** (Quality): Accuracy and control in movement execution",
Cognitive,Attention and Awareness,Selective Attention and Focus Control,"In this scenario, an #AttentionalController manages #SelectiveAttention by directing #FocusControl toward #RelevantStimuli while filtering out #DistractingElements. The controller uses #AttentionalStrategies to maintain #ConcentrationStates and achieve #OptimalFocus despite #AttentionalCompetition from multiple sources.

**Key Cognitive Principles Demonstrated:**

- **Principle 1:** Humans actively control attention as a limited resource, selecting relevant information while inhibiting distracting elements
- **Principle 2:** Universal: quality recognition, comparative assessment; Cultural: specific evaluation standards, value hierarchies
- **Principle 3:** Connects to Value domain (worth assessment), Decision domain (choice evaluation), Social domain (shared standards)","- **Evaluator** (Entity): Person making systematic assessments and quality judgments - **QualityAssessment** (Process): Systematic evaluation of merit, worth, or excellence - **EvaluativeThinking** (Process): Cognitive processes involved in making judgments about value and quality - **EvaluationCriteria** (Entity): Standards and dimensions used for assessment - **TargetObjects** (Entity): Items, products, or entities being evaluated - **TargetSituations** (Entity): Circumstances or conditions being assessed - **QualityJudgments** (Entity): Conclusions about the merit or worth of targets - **ComparativeEvaluations** (Process): Assessments that compare multiple targets - **AssessmentStandards** (Entity): Benchmarks against which targets are measured - **EvaluationMethods** (Process): Systematic approaches to conducting assessments - **ObjectValue** (Quality): Worth or merit attributed to specific items - **SituationalQuality** (Quality): Excellence or appropriateness of circumstances",
Cognitive,Attention and Awareness,Awareness States and Conscious Monitoring,"In this scenario, a #ConsciousObserver experiences different #AwarenessStates and engages in #ConsciousMonitoring of #MentalStates and #CognitiveProcesses. The observer practices #MetaAwareness and #SelfReflection while navigating #ConsciousnessLevels and #AttentionalModes.

**Key Cognitive Principles Demonstrated:**

- **Principle 1:** Humans can monitor their own consciousness and awareness states, developing meta-cognitive understanding of mental processes
- **Principle 2:** Universal: consciousness recognition, self-awareness; Cultural: introspective traditions, mindfulness practices
- **Principle 3:** Connects to Psychological domain (self-awareness), Philosophical domain (consciousness), Meditative domain (mindfulness)","- **ConsciousObserver** (Entity): Person monitoring and reflecting on their own consciousness - **AwarenessStates** (State): Different levels and qualities of conscious experience - **ConsciousMonitoring** (Process): Active observation of one's own mental states - **MentalStates** (State): Various conditions of mind including thoughts, feelings, and intentions - **CognitiveProcesses** (Process): Mental operations like thinking, remembering, and deciding - **MetaAwareness** (Process): Awareness of one's own awareness and mental processes - **SelfReflection** (Process): Deliberate examination of one's own thoughts and experiences - **ConsciousnessLevels** (Quality): Degrees of alertness and awareness - **AttentionalModes** (State): Different ways of directing and organizing attention",
Cognitive,Attention and Awareness,Divided Attention and Multitasking,"In this scenario, a #Multitasker attempts #DividedAttention across #MultipleTargets and #ConcurrentTasks, managing #AttentionalResources and #TaskSwitching. The multitasker experiences #AttentionalLimitations and #PerformanceTradeoffs while developing #MultitaskingStrategies to optimize #CognitiveEfficiency.

**Key Cognitive Principles Demonstrated:**

- **Principle 1:** Humans can divide attention across multiple tasks but face limitations and performance costs due to finite cognitive resources
- **Principle 2:** Universal: attention limitations, multitasking challenges; Cultural: multitasking expectations, efficiency values
- **Principle 3:** Connects to Executive domain (cognitive control), Performance domain (task efficiency), Resource domain (cognitive capacity)","- **Multitasker** (Entity): Person attempting to handle multiple tasks simultaneously - **DividedAttention** (Process): Splitting attention across multiple targets or activities - **MultipleTargets** (Entity): Different objects, tasks, or information sources requiring attention - **ConcurrentTasks** (Entity): Simultaneous activities competing for cognitive resources - **AttentionalResources** (Entity): Limited cognitive capacity available for attention - **TaskSwitching** (Process): Shifting attention between different activities - **AttentionalLimitations** (Quality): Constraints on ability to process multiple information streams - **PerformanceTradeoffs** (Quality): Decreased effectiveness when attention is divided - **MultitaskingStrategies** (Process): Techniques for managing multiple tasks efficiently - **CognitiveEfficiency** (Quality): Optimal use of mental resources for task performance",
Cognitive,Beliefs and Knowledge and Assumptions,Knowledge Acquisition and Belief Formation,"In this scenario, a #KnowledgeSeeker acquires #NewKnowledge through #InformationGathering and #EvidenceEvaluation, forming #BeliefSystems and #KnowledgeStructures. The seeker integrates #FactualInformation with #ExistingBeliefs while managing #BeliefUpdating and #KnowledgeIntegration processes.

**Key Cognitive Principles Demonstrated:**

- **Principle 1:** Humans form beliefs and knowledge through active information gathering and integration with existing cognitive structures
- **Principle 2:** Universal: evidence evaluation, belief formation; Cultural: knowledge sources, belief validation systems
- **Principle 3:** Connects to Epistemic domain (knowledge validation), Information domain (data processing), Social domain (shared knowledge)",- **KnowledgeSeeker** (Entity): Person actively acquiring and organizing knowledge and beliefs - **NewKnowledge** (Entity): Recently acquired information or understanding - **InformationGathering** (Process): Active collection of relevant data and facts - **EvidenceEvaluation** (Process): Assessment of information quality and reliability - **BeliefSystems** (Entity): Organized networks of interconnected beliefs - **KnowledgeStructures** (Entity): Organized frameworks for storing and accessing knowledge - **FactualInformation** (Entity): Verified or reliable data about reality - **ExistingBeliefs** (Entity): Previously held convictions and knowledge - **BeliefUpdating** (Process): Modification of beliefs based on new information - **KnowledgeIntegration** (Process): Incorporating new knowledge into existing structures,
Cognitive,Beliefs and Knowledge and Assumptions,Assumption Recognition and Epistemic Awareness,"In this scenario, an #EpistemicAgent examines #UnderlyingAssumptions and #TakenForGrantedBeliefs through #AssumptionAnalysis and #EpistemicReflection. The agent develops #EpistemicAwareness and #MetaCognition about #KnowledgeLimitations and #BeliefValidation processes.

**Key Cognitive Principles Demonstrated:**

- **Principle 1:** Humans can develop awareness of their own assumptions and epistemic limitations through reflective examination of beliefs
- **Principle 2:** Universal: assumption recognition, epistemic reflection; Cultural: critical thinking traditions, knowledge validation practices
- **Principle 3:** Connects to Metacognitive domain (self-awareness), Critical domain (analytical thinking), Philosophical domain (epistemic reflection)",- **EpistemicAgent** (Entity): Person examining their own knowledge and belief processes - **UnderlyingAssumptions** (Entity): Implicit beliefs that support other knowledge claims - **TakenForGrantedBeliefs** (Entity): Beliefs accepted without explicit examination - **AssumptionAnalysis** (Process): Systematic examination of implicit beliefs - **EpistemicReflection** (Process): Reflection on the nature and sources of knowledge - **EpistemicAwareness** (State): Understanding of one's own knowledge processes and limitations - **MetaCognition** (Process): Thinking about thinking and knowledge processes - **KnowledgeLimitations** (Entity): Boundaries and constraints of personal knowledge - **BeliefValidation** (Process): Methods for testing and confirming beliefs,
Cognitive,Beliefs and Knowledge and Assumptions,Belief Revision and Knowledge Updating,"In this scenario, a #BeliefReviser encounters #ConflictingEvidence and #DisconfirmingInformation that challenges #ExistingBeliefs, leading to #BeliefConflict and #CognitiveDissonance. The reviser engages in #BeliefRevision and #KnowledgeUpdating to resolve conflicts and maintain #EpistemicCoherence.

**Key Cognitive Principles Demonstrated:**

- **Principle 1:** Humans revise beliefs when confronted with conflicting evidence, though this process may involve resistance and cognitive dissonance
- **Principle 2:** Universal: belief revision, dissonance resolution; Cultural: openness to revision, authority vs. evidence
- **Principle 3:** Connects to Emotional domain (dissonance discomfort), Social domain (belief communities), Rational domain (evidence evaluation)",- **BeliefReviser** (Entity): Person updating beliefs in response to new evidence - **ConflictingEvidence** (Entity): Information that contradicts existing beliefs - **DisconfirmingInformation** (Entity): Data that challenges accepted knowledge - **ExistingBeliefs** (Entity): Currently held convictions and knowledge claims - **BeliefConflict** (State): Tension between competing belief claims - **CognitiveDissonance** (State): Psychological discomfort from conflicting beliefs - **BeliefRevision** (Process): Systematic updating of beliefs based on evidence - **KnowledgeUpdating** (Process): Modification of knowledge structures - **EpistemicCoherence** (State): Consistency and integration within belief systems,
Cognitive,Cognitive Judgments and Evaluations,Quality Assessment and Evaluative Thinking,"In this scenario, an #Evaluator engages in #QualityAssessment and #EvaluativeThinking by applying #EvaluationCriteria to #TargetObjects or #TargetSituations. The evaluator makes #QualityJudgments and #ComparativeEvaluations using #AssessmentStandards and #EvaluationMethods to determine #ObjectValue and #SituationalQuality.

**Key Cognitive Principles Demonstrated:**

- **Principle 1:** Humans systematically evaluate objects, situations, and ideas using criteria and standards to make quality judgments
- **Principle 2:** Universal

# Representational Domain - Complete Scenarios

## Information Structures

**Domain:** Representational  
**Subdomain:** Information Structures

### Scenario 1: Data Organization and Categorical Systems

**Description:** In this scenario, an #InformationOrganizer creates #OrganizationalSystems by establishing #CategoryStructures and #ClassificationSchemes to manage #DataCollections. The organizer uses #TaxonomicPrinciples and #HierarchicalOrganization to create #LogicalGroupings and enable efficient #InformationRetrieval.

**Key Cognitive Principles Demonstrated:**

- **Principle 1:** Humans organize information by creating categorical structures and classification systems that reflect logical relationships and facilitate retrieval
- **Principle 2:** Universal: categorization principles, hierarchical organization; Cultural: specific classification systems, organizational preferences
- **Principle 3:** Connects to Cognitive domain (categorization), Knowledge domain (information management), Systematic domain (structural organization)",- **InformationOrganizer** (Entity): Person creating systematic structures for information management - **OrganizationalSystems** (Entity): Structured frameworks for organizing and accessing information - **CategoryStructures** (Entity): Systematic groupings based on shared characteristics - **ClassificationSchemes** (Entity): Formal systems for organizing information into categories - **DataCollections** (Entity): Sets of information requiring organization - **TaxonomicPrinciples** (Entity): Rules and criteria for creating categorical hierarchies - **HierarchicalOrganization** (State): Multi-level structures with nested categories - **LogicalGroupings** (Entity): Categories based on rational or systematic criteria - **InformationRetrieval** (Process): Accessing specific information from organized systems,
